,mcd,d13C,d13C_corr,d18O,d18O_corr,type,comment,age_ka
34,84.28,,,3.18,3.18,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984),2682.2444444444445
35,84.28,,,3.18,3.18,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984),2682.2444444444445
36,84.31,,,2.75,,PMURR,d18O no corr; d13C no corr,2683.0111111111114
37,84.31,,,2.75,,PMURR,d18O no corr; d13C no corr,2683.0111111111114
38,84.39,0.69,0.69,2.57,3.21,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),2685.0555555555557
39,84.39,0.69,0.69,2.5,3.14,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),2685.0555555555557
40,84.44,0.58,0.58,2.5,3.14,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),2686.3333333333335
41,84.44,0.58,0.58,2.5,3.14,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995),2686.3333333333335
42,84.52,,,3.65,,PMURR,d18O no corr; d13C no corr,2688.3777777777777
43,84.52,,,3.65,,PMURR,d18O no corr; d13C no corr,2688.3777777777777
44,84.61,,,3.6,,PMURR,d18O no corr; d13C no corr,2690.677777777778
45,84.61,,,3.6,,PMURR,d18O no corr; d13C no corr,2690.677777777778
46,84.67,,,3.51,3.51,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984),2692.211111111111
47,84.67,,,3.51,3.51,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984),2692.211111111111
48,84.71,-0.09,-0.09,2.61,3.25,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2693.233333333333
49,84.71,-0.09,-0.09,2.61,3.25,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2693.233333333333
50,84.8,0.44,0.44,2.71,3.35,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2695.5333333333333
51,84.8,0.44,0.44,2.71,3.35,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2695.5333333333333
52,84.91,0.57,0.57,2.71,3.35,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2698.3444444444444
53,84.91,0.57,0.57,2.71,3.35,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2698.3444444444444
54,84.98,0.29,0.29,2.55,3.19,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2700.133333333333
55,84.98,0.29,0.29,2.55,3.19,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2700.133333333333
56,85.01,,,3.94,,PMURR,d18O no corr; d13C no corr,2700.9
57,85.01,,,3.94,,PMURR,d18O no corr; d13C no corr,2700.9
