mcd,d13C,d13C_corr,d18O,d18O_corr,type,comment
84.39,0.69,0.69,2.5,3.14,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
84.44,0.58,0.58,2.5,3.14,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
84.44,0.58,0.58,2.5,3.14,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
84.52,,,3.65,,PMURR,d18O no corr; d13C no corr
84.52,,,3.65,,PMURR,d18O no corr; d13C no corr
84.61,,,3.6,,PMURR,d18O no corr; d13C no corr
84.61,,,3.6,,PMURR,d18O no corr; d13C no corr
84.67,,,3.51,3.51,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984)
84.67,,,3.51,3.51,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984)
84.71,-0.09,-0.09,2.61,3.25,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
84.71,-0.09,-0.09,2.61,3.25,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
84.8,0.44,0.44,2.71,3.35,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
84.8,0.44,0.44,2.71,3.35,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
84.91,0.57,0.57,2.71,3.35,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
84.91,0.57,0.57,2.71,3.35,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
84.98,0.29,0.29,2.55,3.19,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
84.98,0.29,0.29,2.55,3.19,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
85.01,,,3.94,,PMURR,d18O no corr; d13C no corr
85.01,,,3.94,,PMURR,d18O no corr; d13C no corr
85.08,,,3.52,3.52,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984)
85.08,,,3.52,3.52,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984)
85.11,,,3.92,,PMURR,d18O no corr; d13C no corr
85.11,,,3.92,,PMURR,d18O no corr; d13C no corr
85.18,0.2,0.2,3.11,3.75,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
85.18,0.2,0.2,3.11,3.75,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
85.21,,,3.45,,PMURR,d18O no corr; d13C no corr
85.21,,,3.45,,PMURR,d18O no corr; d13C no corr
85.33,0.07,0.07,3.3,3.94,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
85.33,0.07,0.07,3.3,3.94,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
85.44,-0.03,-0.03,3.15,3.79,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
85.44,-0.03,-0.03,3.15,3.79,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
85.49,0.63,0.63,2.7,3.34,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
85.49,0.63,0.63,2.7,3.34,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
85.51,,,3.87,,PMURR,d18O no corr; d13C no corr
85.51,,,3.87,,PMURR,d18O no corr; d13C no corr
85.61,0.85,0.85,2.83,3.47,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
85.61,0.43,0.43,3.38,4.02,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
85.71,-0.01,-0.01,3.4,4.04,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
85.81,1.08,1.08,3.62,4.26,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
85.91,0.71,0.71,2.95,3.59,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
86.01,0.33,0.33,2.91,3.55,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
86.21,0.78,0.78,2.62,3.26,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
86.41,0.83,0.83,2.45,3.09,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
86.61,0.91,0.91,2.35,2.99,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
86.81,0.8,0.8,2.68,3.32,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
86.91,,,3.37,,PMURR,d18O no corr; d13C no corr
87.01,0.7,0.7,,,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
87.08,0.45,0.45,2.75,3.39,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
87.11,-0.84,-0.84,2.64,3.28,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
87.21,0.29,0.29,2.45,3.09,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
