mcd,d13C,d13C_corr,d18O,d18O_corr,type,comment
198.07,1.37,1.37,2.01,2.51,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
225.21,0.92,1.42,2.73,2.63,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995)
225.31,1.33,1.33,2.28,2.78,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
225.41,1.51,1.51,2.13,2.63,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
225.51,0.89,1.39,2.69,2.59,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995)
225.51,1.46,1.46,1.98,2.62,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
225.61,1.07,1.57,2.54,2.44,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995)
225.61,1.35,1.35,2.07,2.71,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
225.71,1.45,1.45,2.1,2.74,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
225.81,1.27,1.27,2.11,2.61,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
225.91,1.21,1.21,1.94,2.58,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
226.01,1.05,1.05,2.24,2.88,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
226.11,1.07,1.07,2.31,2.95,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
226.21,1.22,1.22,2.11,2.75,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
226.31,1.3,1.3,2.09,2.73,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
226.41,1.19,1.19,2.32,2.96,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
226.41,1.02,1.52,2.6,2.5,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995)
226.51,1.33,1.33,2.01,2.65,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
226.61,1.21,1.21,2.18,2.82,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
226.69,1.28,1.28,2.12,2.62,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
226.81,1.47,1.47,2.3,2.94,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
226.91,1.4,1.4,2.18,2.68,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
227.01,1.38,1.38,2.22,2.72,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
227.11,1.44,1.44,2.01,2.65,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
227.21,1.33,1.33,2.08,2.72,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
227.31,1.33,1.33,2.14,2.78,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
227.61,1.41,1.41,2.05,2.55,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
227.71,1.32,1.32,2.1,2.74,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
227.81,1.35,1.35,2.14,2.64,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
227.91,1.41,1.41,2.25,2.75,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
228.01,1.42,1.42,1.99,2.63,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
228.11,1.26,1.26,1.99,2.49,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
228.21,1.34,1.34,1.99,2.49,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
228.31,1.42,1.42,2.09,2.59,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
228.4,1.49,1.49,2.19,2.69,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
228.51,1.52,1.52,2.33,2.83,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
228.61,1.05,1.05,2.5,3.14,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
228.71,1.33,1.33,2.3,2.8,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
228.81,1.45,1.45,2.37,3.01,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
228.91,1.19,1.19,1.83,2.47,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
229.01,1.51,1.51,1.95,2.59,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
229.11,1.28,1.28,2.2,2.7,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
229.21,1.13,1.13,1.92,2.42,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
229.31,1.29,1.29,2.23,2.73,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
229.41,1.32,1.32,2.11,2.61,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
229.54,1.43,1.43,2.17,2.81,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
229.61,1.47,1.47,2.24,2.74,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
229.71,1.36,1.36,2.09,2.59,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
229.81,1.43,1.43,2.08,2.72,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
229.91,1.22,1.22,2.41,2.91,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
230.01,1.23,1.23,2.29,2.79,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
230.11,1.44,1.44,2.27,2.77,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
230.21,1.3,1.3,2.27,2.91,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
230.31,1.34,1.34,1.76,2.26,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
230.41,1.33,1.33,2.17,2.67,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
230.51,1.22,1.22,2.34,2.84,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
230.61,1.24,1.24,2.24,2.74,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
230.71,1.46,1.46,2.12,2.76,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
230.81,1.32,1.32,2.16,2.8,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
230.91,1.15,1.15,1.93,2.57,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
231.01,0.98,0.98,2.32,2.67,NUMB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)
231.11,1.18,1.18,2.37,3.01,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
231.21,0.45,1.45,2.77,2.77,ORID,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton et al 1995)
231.31,1.12,1.12,2.28,2.92,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
231.41,1.07,1.07,2.14,2.78,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
231.51,1.04,1.04,2.28,2.92,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
231.67,1.22,1.22,2.22,2.86,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
231.61,1.19,1.19,2.11,2.75,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
231.77,1.26,1.26,2.2,2.84,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
231.71,1.06,1.06,2.14,2.78,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
231.87,1.19,1.19,2.38,3.02,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
231.81,1.2,1.2,2.24,2.74,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
231.97,1.27,1.27,2.34,2.98,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
231.91,1.2,1.2,2.29,2.79,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
232.07,0.2,1.2,2.91,2.91,ORID,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton et al 1995)
232.01,1.2,1.2,2.29,2.93,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
232.11,1.17,1.17,2.12,2.62,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
232.27,1.28,1.28,1.94,2.58,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
232.21,1.27,1.27,2.02,2.52,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
232.37,-0.43,0.57,2.35,2.35,ORID,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton et al 1995)
232.47,1.04,1.04,2.2,2.84,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
232.57,0.98,0.98,2.4,3.04,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
232.67,1.2,1.2,2.1,2.74,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
232.77,1.08,1.08,2.14,2.78,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
232.87,1.05,1.05,1.93,2.57,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
232.97,1.29,1.29,2.04,2.54,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
233.07,1.12,1.12,2.06,2.56,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
233.17,1.18,1.18,2.31,2.81,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
233.27,1.22,1.22,2.06,2.7,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
233.37,1.31,1.31,1.82,2.32,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
233.47,1.02,1.02,2.1,2.74,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
233.47,0.82,1.32,2.43,2.33,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995)
233.57,1,1,2.25,2.75,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
233.67,0.95,0.95,2.3,2.8,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
233.77,1.15,1.15,2.25,2.89,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
233.77,0.32,0.82,2.7,2.6,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995)
233.87,0.89,0.89,2.98,3.62,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
234.07,1.14,1.14,2.41,2.91,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
234.17,1.02,1.02,2.23,2.87,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
234.27,0.98,0.98,2.31,2.81,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
234.37,0.98,0.98,2.15,2.65,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
234.57,1.05,1.05,2.15,2.79,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
234.67,1.17,1.17,2.05,2.69,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
234.67,1.16,1.16,1.96,2.6,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
234.77,0.92,0.92,1.86,2.36,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
234.87,1.1,1.1,2.07,2.57,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
234.95,1.15,1.15,2.26,2.9,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
235.07,0.47,0.97,2.45,2.35,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995)
235.17,1.03,1.03,2.15,2.79,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
235.17,0.6,1.1,2.46,2.36,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995)
235.27,1.22,1.22,2.05,2.69,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
235.37,1.16,1.16,2.09,2.73,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
235.47,0.9,0.9,2.19,2.69,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
235.57,0.98,0.98,2.3,2.8,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
235.67,1.1,1.1,2.1,2.74,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
235.77,1.2,1.2,2.19,2.83,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
235.97,1.34,1.34,2.1,2.74,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
235.97,1.18,1.18,2.05,2.69,CKULL,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
236.07,1.25,1.25,1.85,2.49,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
236.17,1.13,1.13,1.93,2.57,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
236.27,1.25,1.25,2.08,2.72,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
236.37,1.26,1.26,2.09,2.73,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
236.57,0.91,1.41,2.44,2.34,GLOSUB,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by -0.10 per mil ; d13C adjusted by 0.50 per mil (Shackleton et al 1995)
236.67,1.35,1.35,1.82,2.46,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
236.77,1.17,1.17,2.13,2.77,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
236.87,0.95,0.95,2.12,2.76,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
252.52,1.18,1.18,2,2.5,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
252.62,0.01,1.01,2.57,2.57,ORID,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton et al 1995)
252.72,1.05,1.05,2.1,2.74,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
252.82,0.99,0.99,2.04,2.68,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
252.92,0.96,0.96,2.06,2.56,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
253.02,1.05,1.05,1.7,2.34,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
253.12,1.03,1.03,1.74,2.38,CWUE,d18O no corr; d13C no corr;; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
253.32,0.91,0.91,2.02,2.52,CSPP,d18O no corr; d13C no corr; CSPP = C.wuellerstorfi + Cibicidoides spp; Isotope correction information: d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
