Age (ka),Site 927,Site 929,Site 925
1005.18,,3.74,
1006.01,,,3.87
1006.67,,3.944,
1007.41,,3.64,
1007.51,,,3.8
1009.01,,,4.09
1009.51,3.64,,
1010.38,,3.706,
1010.51,,,3.98
1011.12,,3.65,
1012.02,,,4.13
1012.5,3.9,,
1013.6,,,3.85
1014.26,,3.855,
1015.12,,3.79,
1015.35,,,4.03
1017.1,,,3.65
1018.2,3.96,,
1018.57,,3.672,
1018.84,,,3.41
1019.43,,3.62,
1020.59,,,3.71
1021.25,3.53,,
1022.33,,,3.34
1022.88,,3.482,
1023.75,,3.42,
1024.47,,,3.38
1026.61,,,3.53
1027.08,,3.458,
1027.34,3.55,,
1027.83,,3.4,
1028.75,,,3.39
1030.69,,3.603,
1030.75,,,3.56
1031.38,,3.54,
1032.68,3.85,,
1032.73,,,3.63
1034.15,,3.966,
1034.8,,,4.01
1034.84,,3.91,
1036.92,,,4.11
1037.61,,4.258,
1037.75,4.33,,
1038.31,,4.2,
1039.89,,,4.18
1040.29,4.33,,
1041.08,,3.991,
1041.77,,3.93,
1042.83,4.16,,
1044.14,,,4.23
1044.54,,4.173,
1045.23,,4.11,
1045.36,4.18,,
1047.9,4.19,,
1048,,4.144,
1048.38,,,4.04
1048.7,,4.09,
1050.44,4.18,,
1051.47,,4.157,
1052.16,,4.1,
1053.21,,,4.2
1053.55,4.08,,
1054.93,,3.999,
1055.62,,3.94,
1056.81,,,4.35
1056.87,,,3.93
1061.57,,,3.54
1061.59,,3.524,
1062.21,,3.46,
1063.63,4.01,,
1063.88,,,3.38
1064.2,,,3.47
1064.67,,3.543,
1065.29,,3.49,
1066.79,3.41,,
1067.3,,,3.38
1067.76,,3.351,
1068.37,,3.29,
1069.95,2.94,,
1070.41,,,3.09
1070.41,,,3.04
1070.84,,3.265,
1071.46,,3.21,
1073.38,3.05,,
1073.47,,,3.45
1073.83,,3.117,
1074.38,,3.06,
1076.17,3.35,,
1076.24,,,3.09
1076.57,,3.549,
1077.12,,3.49,
1079.01,,,3.34
1079.32,,3.449,
1079.88,,3.39,
1081.76,3.48,,
1081.78,,,3.68
1082.07,,3.603,
1082.62,,3.55,
1084.75,3.79,,
1084.83,,,3.76
1085.36,,3.715,
1086.26,,3.66,
1088.47,3.85,,
1088.96,,,3.68
1089.88,,3.912,
1090.79,,3.86,
1092.2,3.75,,
1093.09,,,3.82
1093.09,,,3.42
1094.4,,3.868,
1095.31,,3.81,
1095.92,3.84,,
1097.22,,,3.93
1099.65,4.27,,
1101.35,,,4.04
1103.29,3.93,,
1103.31,,3.822,
1103.93,,3.53,
1105.04,,,3.86
1106.22,3.95,,
1106.39,,3.959,
1107.01,,3.9,
1108.43,,,3.47
1109.16,3.8,,
1109.48,,3.937,
1110.1,,3.88,
1111.83,,,3.53
1111.83,,,3.09
1112.09,3.47,,
1112.56,,3.928,
1113.18,,3.87,
1114.86,3.68,,
1115.26,,,3.65
1115.26,,,3.67
1115.7,,3.441,
1116.33,,3.39,
1117.41,3.9,,
1118.75,,,3.7
1118.87,,3.667,
1119.5,,3.61,
1119.96,3.89,,
1121.98,,,3.96
1122.04,,4.019,
1122.5,4.51,,
1122.68,,3.96,
1124.17,,,4.39
1125.05,4.48,,
1125.21,,4.198,
1125.85,,4.14,
1126.36,,,4.36
1127.6,3.9,,
1128.39,,4.443,
1128.55,,,4.1
1129.02,,4.15,
1130.74,,,3.58
1130.74,,,3.99
1131.56,,4.294,
1132.2,,4.23,
1132.69,4.01,,
1132.93,,,4.02
1134.73,,4.206,
1135.12,,,4.13
1135.24,4.12,,
1135.37,,4.15,
1138.69,,3.831,
1138.95,,,3.66
1138.95,,,3.76
1138.96,4.03,,
1139.61,,3.77,
1143.19,4.02,,
1143.33,,3.898,
1144.26,,3.6,
1147.41,3.68,,
1147.97,,3.79,
1148.77,,,3.72
1148.9,,3.73,
1151.64,3.57,,
1152.61,,3.872,
1153.54,,3.58,
1155.87,3.32,,
1157.25,,3.628,
1158.18,,3.57,
1158.6,,,3.32
1158.6,,,3.64
1160.1,3.28,,
1161.89,,3.417,
1162.82,,3.36,
1163.51,,,3.27
1166.54,,3.361,
1167.19,,3.3,
1167.71,,,3.32
1167.77,3.25,,
1168.69,,3.33,
1169.07,,3.27,
1170.17,,,3.3
1170.17,,,3.05
1170.57,,3.414,
1170.95,,3.35,
1172.45,,3.662,
1172.63,,,3.68
1172.63,,,3.3
1172.83,,3.61,
1174.33,,3.43,
1174.71,,3.37,
1175.09,,,3.52
1176.18,3.32,,
1176.21,,3.496,
1176.59,,3.44,
1177.54,,,3.47
1177.54,,,3.48
1178.11,,3.436,
1178.33,3.47,,
1178.55,,3.38,
1180.3,,3.527,
1180.31,,,3.21
1180.73,,3.47,
1181.23,3.46,,
1182.48,,3.493,
1182.92,,3.43,
1184.14,3.47,,
1184.14,3.41,,
1184.67,,3.515,
1185.1,,3.46,
1187.04,4.19,,
1187.11,,4.157,
1187.17,,,3.99
1187.62,3.96,,
1187.63,,4.1,
1188.59,,,4.18
1189.72,,4.185,
1189.95,4.07,,
1190.02,,,4.15
1190.25,,4.13,
1190.82,4.22,,
1191.44,,,4.26
1192.34,,4.41,
1192.85,4.26,,
1192.86,,4.35,
1192.87,,,4.14
1194.01,4.46,,
1194.29,,,4.2
1194.95,,4.428,
1195.48,,4.37,
1195.51,4.5,,
1196.55,4.42,,
1197.14,,,3.89
1197.57,,4.305,
1197.59,4.4,,
1198.1,,4.24,
1198.65,,,4.17
1198.96,4.26,,
1199.91,4.37,,
1200.5,,4.28,
1201.09,,4.22,
1201.58,4.44,,
1202.29,4.2,,
1203.49,,4.266,
1203.54,,,4.03
1204.08,,4.21,
1204.19,4.27,,
1204.67,4.17,,
1205.17,,,3.92
1206.8,,,4.06
1206.81,4.13,,
1207.05,4.28,,
1207.07,,3.9,
1208.43,,,3.97
1209.43,3.69,,
1209.67,3.79,,
1210.06,,4.05,
1210.07,,,3.47
1211.26,,3.64,
1211.7,,,3.86
1211.81,3.86,,
1212.52,4.02,,
1213.34,,,3.02
1215.29,3.72,,
1216.92,3.91,,
1217.4,,4.04,
1218.64,3.96,,
1218.79,,,3.5
1219.79,3.59,,
1220.72,,,3.43
1220.76,,3.58,
1222.08,3.4,,
1222.65,,,3.64
1222.68,3.69,,
1224.13,,3.41,
1224.58,,,3.33
1226.51,,,3.49
1226.64,3.35,,
1226.64,3.47,,
1227.5,,3.53,
1230.6,3.05,,
1230.86,,3.14,
1230.99,4.03,,
1232.29,,,3.12
1234.55,3.22,,
1234.66,,3.11,
1235.74,3.16,,
1236.15,,,3.35
1238.08,,,3.2
1238.51,3.06,2.8,
1240.01,,,3.36
1240.09,3.33,,
1242.35,,3.34,
1243.67,3.11,,
1243.86,,,3.49
1246.2,,3.97,
1250.36,4.32,,
1253.7,4.27,,
1256.78,4.52,,
1258.26,,3.93,
1259.82,,,3.71
1259.85,4.17,,
1261.88,,,3.82
1262.43,,3.56,
1262.91,3.96,,
1265.97,4.17,,
1265.99,,,3.26
1269.03,3.81,,
1270.77,,3.68,
1272.09,3.61,,
1275.15,3.59,,
1277.7,,,3.54
1278.21,3.43,,
1278.65,,,3.4
1278.7,,3.47,
1279.54,,,3.29
1280.45,,,3.38
1281.28,3.4,,
1281.38,,,3.25
1282.26,,,3.44
1282.52,,3.48,
1283.21,,,3.32
1284.03,,,3.45
1284.49,3.69,,
1284.99,,,3.37
1286.24,,3.74,
1287.53,,,3.61
1287.83,3.78,,
1289.28,,,3.65
1289.95,,3.74,
1291.18,3.94,,
1293.66,,4.15,
1294.52,3.57,,
1297.37,,3.95,
1300.11,,,3.49
1301.06,,3.87,
1301.17,3.89,,
1303.83,3.75,,
1304.61,,,3.89
1306.05,,,4
1306.93,,3.69,
1309.15,3.53,,
1309.41,,,3.55
1309.75,,3.68,
1310.82,,,3.42
1311.81,3.56,,
1312.22,,,3.52
1312.57,,3.46,
1313.63,,,3.58
1314.47,3.52,,
1315.03,,,3.58
1315.38,,3.28,
1316.48,,,3.5
1317.94,,,3.61
1317.97,,3.17,
1318.83,,,3.83
1319.05,3.96,,
1319.41,,3.82,
1319.69,,,3.08
1320.54,,,3.88
1320.62,3.9,,
1320.84,,3.88,
1321.4,,,3.79
1322.18,4.71,,
1322.26,,,3.85
1322.28,,3.74,
1323.12,,,3.79
1323.71,,3.84,
1323.98,,,4.09
1324.84,,,3.96
1325.7,,,3.72
1326.56,,,4.05
1328.8,,,3.97
1329.28,4.32,,
1331.29,,,3.62
1333.78,,,4.06
1333.81,3.83,,
1338.35,3.72,,
1341.25,,,3.22
1342.88,4,,
1343.25,,3.63,
1343.74,,,3.32
1346.23,,,3.59
1347.41,3.78,,
1348.71,,,3.63
1350.87,,3.15,
1351.2,,,3.55
1351.95,3.71,,
1353.69,,,3.28
1356.18,,,3.27
1356.48,2.86,,
1358.49,,2.78,
1360.23,2.84,,3
1362.11,,3.22,
1362.97,3.6,,
1363.05,,,3.16
1365.27,,3.39,
1367.49,,,3.54
1368.44,,3.76,
1368.98,,,3.49
1371.19,3.62,,
1371.6,,3.75,
1371.96,,,3.63
1374.76,,3.79,
1376.44,,,3.92
1376.67,3.62,,
1377.93,,3.98,3.94
1379.41,4.16,,
1379.42,,,4.04
1380.91,,,4.07
1382.15,4.04,,
1382.4,,,3.77
1383.89,,,3.94
1384.25,,4.17,
1384.89,3.94,,
1385.38,,,3.98
1386.87,,,3.74
1387.42,,3.65,
1387.63,3.95,,
1388.36,,,3.62
1390.33,3.69,,
1390.54,,3.52,
1391.63,,,3.05
1393.27,,,3.65
1393.62,,3.26,
1394.92,,,3.62
1395.67,3.4,,
1396.57,,,3.49
1396.7,,3.25,
1398.22,,,3.48
1398.34,3.39,,
1399.41,3.35,,
1399.57,,,4.62
1399.79,,3.2,
1401.52,,,3.15
1402.1,3.24,,
1403.5,,,3.36
1403.91,,3.12,
1404.51,,,2.7
1404.81,3.66,,
1406.8,,,3.59
1407.53,3.9,,
1408.15,,3.42,
1410.1,,,4.04
1410.24,3.98,,
1412.4,,3.76,
1412.95,4.01,,
1413.4,,,4.26
1414.21,,3.77,
1415.66,3.96,,
1415.76,,4.04,
1416.7,,,3.86
1417.3,,3.97,
1418.9,,3.54,
1421.21,,3.87,
1421.25,3.72,,
1423.73,,3.49,
1423.98,,,3.5
1424.37,3.52,,
1426.89,,3.27,
1427.49,3.39,,
1427.97,,,3.74
1430.62,3.21,,
1431.51,,3.14,
1431.95,,,3.34
1434.14,3.15,,
1435.94,,,2.54
1437.46,,2.48,
1438.07,3.02,,
1439.92,,,3.16
1441.56,,2.58,
1442,2.89,,
1444.97,2.95,,
1445.06,,3,
1447.81,2.92,,
1450.51,3.07,,
1452.1,,3.69,
1453.21,3.94,,
1454.09,,,4.09
1457.9,,,4.15
1460.14,,4.15,
1461.3,4.03,,
1464,3.94,,
1464.67,,3.96,
1465.69,,,3.59
1467.31,3.75,,
1467.86,,3.89,
1469.92,,,2.94
1470.62,3.43,,
1471.05,,3.77,
1473.92,3.52,,
1474.14,,,3.39
1474.24,,3.53,
1477.19,3.41,,
1477.43,,3.14,
1478.37,,,3.41
1481.37,,3.09,
1482.6,,,3.33
1483.65,3.12,,
1486.07,,2.77,
1487.64,3.01,,
1491.48,,2.98,
1491.73,2.66,,
1496.88,,3.16,
1503.47,,,4.22
1506.4,,,3.08
1514.38,,,3.68
1517.04,,,3.64
1518.13,,3.49,
1518.74,3.33,,
1519.71,,,3.43
1520.61,,3.52,
1520.75,3.16,,
1522.37,,,3.69
1522.75,3.52,,
1523.1,,3.21,
1524.76,3.27,,
1525.03,,,3.7
1525.58,,3.24,
1528.07,,3.57,
1530.36,,,4.26
1530.37,,3.69,
1530.78,4.39,,
1532.4,,3.68,
1533.03,,,3.7
1534.43,,4.21,
1535.71,,,2.78
1536.68,,4.34,
1540.64,,3.88,
1541.14,3.82,,
1543.59,,,3.14
1543.68,,3.65,
1544.82,3.45,,
1547.46,,,3.67
1548.38,3.34,,
1548.38,3.82,,
1550.2,,3.67,
1550.92,,,3.25
1553.78,,3.8,
1556.99,,3.69,
1560.2,,3.7,
1561.33,,,3.12
1563.24,3.48,,
1564.8,,,3.35
1566.63,,3.38,
1567.11,3.25,,
1567.95,,,3.35
1569.69,3.52,,
1569.73,,3.34,
1572.26,3.89,,
1573.18,,,3.61
1574.83,4.23,,
1576.97,,3.87,
1577.4,3.96,,
1583.15,,,3.8
1583.68,,3.72,
1586.85,3.57,,
1586.99,,3.52,
1597.12,,3.74,
1598.22,,,3.48
1599.99,,3.8,
1600.76,3.54,,
1602.11,,,3.42
1602.85,,3.56,
1603.88,3.6,,
1605.72,,3.19,
1606,,,3.25
1607.33,3.25,,
1609.45,,3.4,
1609.52,,,3.47
1611.48,3.2,,
1613.05,,,3.35
1613.28,,3.71,
1615.64,3.47,,
1616.54,,,3.23
1617.05,,3.67,
1619.9,,,3.63
1620.59,,3.42,
1622.04,3.61,,
1623.26,,,3.33
1624.12,,3.43,
1624.28,,,3.51
1624.97,3.33,,
1625.95,,,3.39
1626.73,,,3.47
1627.62,,,3.28
1627.65,,3.67,
1628.25,3.59,,
1629.3,,,3.45
1630.98,,,3.9
1630.98,,,3.85
1631.18,,3.62,
1632.66,,,3.64
1634.35,,,3.61
1634.59,,3.88,
1635.27,,,2.96
1636.09,,,3.26
1637.42,,3.45,
1637.47,3.38,,
1637.83,,,3.26
1639.57,,,3.22
1639.67,,,3.26
1640.25,,3.18,
1641.17,3.06,,
1641.31,,,3.26
1641.91,3.21,,
1642.91,,,3.25
1643.07,,3.32,
1643.96,,,3.23
1644.76,3.05,,
1645.03,,,3.45
1645.25,3.15,,
1645.68,,4.07,
1646.84,,,3.81
1647.93,3.17,,
1648.64,,,3.14
1648.79,,3.77,
1650.45,,,3.95
1651.9,,4.18,
1654.07,,,3.98
1654.62,3.86,,
1655.01,,4.13,
1657.69,,,3.81
1657.97,3.01,,
1658.12,,4,
1659.5,,,3.75
1661.23,,4.07,
1663.12,,,3.88
1664.34,,3.91,
1664.93,,,4
1667.45,,3.35,
1668,3.8,,
1668.55,,,4.08
1670.36,,,4.01
1672.29,,,4.14
1674.27,,3.59,
1674.45,3.78,,3.62
1676.01,,,3.89
1677.08,,3.5,
1677.57,,,3.67
1678.76,3.59,,
1679.12,,,3.61
1680.92,3.47,,
1685.5,,3.24,
1686.91,,,3.37
1688.31,,3.46,
1691.12,,3.4,
1691.58,,,3.3
1693.86,3.31,,
1693.93,,3.44,
1694.7,,,3.32
1696.01,3.84,,
1696.74,,3.38,
1697.81,,,3.04
1699.54,,3.66,
1700.33,3.74,,
1700.93,,,3.37
1702.35,,3.66,
1702.49,,,3.48
1704.64,3.95,,
1705.21,,4.18,
1709.43,3.51,,
1710.95,,3.91,
1711.87,3.61,,
1713.65,,3.21,
1714.13,,,3.67
1714.31,3.31,,
1716.36,,3.43,
1716.36,,3.74,
1716.88,,,3.05
1719.48,,3.15,
1720.09,,,2.78
1722.83,3.37,,
1723.48,,,3.58
1725.18,,,3.68
1729.8,,3.42,
1732.09,3.47,,
1732.55,,,3.49
1733.92,,,3.52
1734.84,3.39,,
1735.59,,3.44,
1736.65,,,2.95
1739.48,,,4.17
1741.61,,3.9,
1742.39,,,4.18
1744.7,,3.8,
1745.95,,,3.6
1747.8,,3.84,
1748.66,4.4,,
1751.11,,3.23,
1753.52,,4.03,
1753.54,,,3.62
1755.66,3.61,,
1756.76,,3.03,
1760,,2.78,
1760.64,,,2.69
1763.25,,2.92,
1766.49,,3.17,
1767.74,,,2.98
1769.74,,3.21,
1773.14,,3.16,
1776.81,,3.2,
1780.48,,3.03,
1784.15,,3.63,
1787.82,,3.66,
1791.49,,4.18,
1793.52,4.21,,
1795.16,,4,
1796.38,,,3.13
1797,4.13,,
1798.93,,3.59,
1799.33,3.71,,
1799.98,,,3.5
1801.67,3.39,,
1806.33,3.6,,
1806.63,,3.75,
1807.43,,,3.49
1810.48,,3.52,
1811,3.62,,
1811.17,,,3.3
1814.11,,3.29,
1815.43,,,3.3
1815.5,3.3,,
1817.5,,3.43,
1819.44,,,3.4
1820,3.61,,
1820,3.64,,
1820.9,,3.51,
1823.35,3.57,,
1823.46,,,3.31
1824.72,,3.23,
1826.43,3.49,,
1827.51,,,3.21
1828.56,,3.39,
1829.51,4.52,,
1831.56,,,3.19
1832.01,,3.53,
1832.6,3.53,,
1835.51,,,3.86
1835.75,3.33,,
1836.34,,3.3,
1838.9,4.12,,
1839.42,,,3.9
1842.05,4.27,,
1843.26,,,3.9
1843.7,,4,
1844.73,3.87,,
1846.19,,3.71,
1846.33,,,3.88
1847.19,3.9,,
1848.68,,3.48,
1849.4,,,3.46
1849.66,3.79,,
1851.17,,3.29,
1852.13,3.78,,
1852.47,,,3.4
1854.74,3.71,,
1855.72,,,3.18
1855.89,,3.49,
1857.8,3.55,,
1858.28,,3.46,
1859.16,,,3.72
1860.67,,3.44,
1860.87,3.69,,
1862.6,,,3.79
1863.93,3.94,,
1866.39,,,3.55
1866.95,,3.39,
1867.51,3.56,,
1870.43,,,3.42
1871.1,3.64,,
1873.57,,3.49,
1874.36,,,3.48
1874.45,3.54,,
1877.07,3.42,,
1877.91,,,3.56
1879.69,3.42,,
1880.33,,3.15,
1881.14,,,3.47
1882.32,3.48,,
1883.66,,3.29,
1884.38,,,3.35
1886.59,,3.27,
1887.18,,,3.4
1889.3,,3.03,
1889.88,,,3.35
1892.01,,3.21,
1892.58,,,3.4
1893.79,3.23,,
1894.72,,3.1,
1895.28,,,3.44
1896.23,3.39,,
1897.43,,3.26,
1897.98,,,3.37
1898.67,3.73,,
1900.14,,3.48,
1900.68,,,3.82
1903.38,,,4.14
1903.39,,3.36,
1905.56,,4.07,
1906.08,,,3.95
1907.71,,4.1,
1908.44,4.42,,
1908.78,,,3.84
1909.79,,3.9,
1910.88,3.84,,
1911.48,,,3.75
1911.87,,3.79,
1913.9,,,3.84
1913.96,,3.58,
1917.14,,3.56,
1917.82,,,3.91
1919.09,3.96,,
1922.21,3.25,,
1922.68,,,3.61
1925.33,3.76,,
1926.5,,3.61,
1927.03,,,3.51
1928.46,3.71,,
1929.71,,3.37,
1931.18,,,3.35
1933.73,,3.31,
1935.33,,,3.25
1937.11,,3.33,
1938.23,,,3.26
1939.99,,3.47,
1940.55,3.71,,
1941.08,,,3.26
1942.88,,3.28,
1945.76,,3.15,
1946.11,3.92,,
1948.89,3.71,,
1949.22,,4.03,
1949.63,,,3.97
1951.53,,3.78,
1951.67,4.47,,
1952.48,,,3.92
1954.19,,,3.51
1954.41,,3.61,
1955.56,,3.4,
1955.62,,,3.8
1957.05,,,3.33
1957.56,,3.53,
1958.53,,,3.59
1959.01,,3.47,
1959.8,3.69,,
1960.04,,,3.42
1961.55,,,3.8
1962.7,,3.49,
1963.07,,,3.57
1964.58,,,3.41
1966.1,,,3.48
1967.57,3.58,,
1967.61,,,3.31
1969.31,,,3.29
1971.07,,,3.15
1972.83,,,3.05
1973.34,3.23,,
1974.49,,3.27,
1974.59,,,2.86
1976.26,2.97,,
1976.35,,,3.27
1978.61,,3.24,
1986.9,,,3.55
1986.94,,3.82,
1987.96,4.46,,
1990.42,,,3.75
1991.31,,3.65,
1992.18,,,3.89
1993.8,4.04,,
1993.94,,,3.86
1996,,,3.44
1997.45,3.95,,
1998.5,,,3.69
2001,,,3.52
2002.15,3.8,,
2003.5,,,3.57
2006,,,3.43
2007.39,3.67,,
2008.5,,,3.26
2011,,,3.35
2012.05,3.65,,
2012.61,,,3.66
2014.21,,,3.63
2015.42,3.29,,
2015.82,,,3.17
2015.91,,3.12,
2017.43,,,3.25
2019.04,,,3.33
2020.64,,,3.13
2022.15,3.09,,
2022.21,,,3.09
2023.74,,,3
2024.75,,2.83,
2024.98,3.11,,
2025.28,,,3.22
2026.81,,,3.16
2027.58,,2.91,
2027.67,2.88,,
2028.35,,,3.62
2029.88,,,3.43
2030.4,,3.32,
2031.42,,,3.14
2032.95,,,3.39
2033.06,3.59,,
2034.48,,,3.59
2035.75,3.57,,
2036.02,,,3.61
2037.55,,,3.67
2038.44,3.65,,
2038.87,,3.55,
2039.09,,,3.68
2040.62,,,3.76
2041.13,3.7,,
2041.72,,3.58,
2042.15,,,3.5
2043.69,,,3.06
2043.78,3.42,,
2047.64,,3.46,
2048.29,,,2.96
2049.07,3.34,,
2050.6,,3.43,
2051.71,3.31,,
2054.35,3.2,,
2056.52,,3.18,
2057,3.03,,
2057.3,,,3.36
2059.48,,3.29,
2059.64,3.66,,
2060.27,,,3.48
2062.32,4.11,,
2062.49,,3.73,
2063.39,,,3.62
2065.04,,,4.01
2065.26,3.88,,
2066.7,,,4.05
2068.2,4.04,,
2069.07,,4.04,
2070.01,,,4.05
2071.14,4.15,,
2072.36,,4.21,
2074.08,4.21,,
2074.97,,,3.7
2075.65,,3.94,
2077.03,3.75,,
2079.93,,,3.79
2079.97,4.2,,
2081.58,,,3.5
2082.6,4,,
2083.24,,,3.85
2085.21,3.76,,
2086.49,,3.57,
2086.55,,,3.71
2087.81,3.88,,
2089.68,,,3.24
2092.51,,,3.31
2093.02,3.66,,
2093.16,,,3.4
2094.27,,3.34,
2095.63,3.44,,
2096.14,,,3.21
2098.05,,3.1,
2098.39,3.36,,
2099.28,,,2.92
2101.44,3.21,,
2102.37,,,2.99
2105.03,,3.31,
2105.76,,,3.24
2107.53,3.54,,
2108.48,,3.64,
2109.08,,,3.38
2110.34,3.39,,
2113.1,3.42,,
2115.31,,,3.31
2115.87,3.38,,
2118.08,,3.14,
2118.42,,,3.17
2118.64,3.33,,
2121.41,3.41,,
2124.17,3.02,,
2124.65,,,3.73
2126.03,,3.43,
2127.77,,,3.67
2129.04,3.8,,
2130.1,,,3.57
2130.89,3.65,,
2131.57,,3.64,
2132.37,,,3.19
2132.73,3.56,,
2133.75,,3.48,
2134.58,3.12,,
2134.65,,,3.16
2135.93,,2.98,
2136.42,3.18,,
2136.88,,,2.84
2138.27,2.86,,
2139.05,,,2.36
2140.16,2.75,,
2140.4,,2.61,
2142.43,3.12,,
2143.71,,3.11,
2144.64,,,3.34
2144.69,3.51,,
2146.95,3.53,,
2147.22,,3.44,
2147.62,,,3.88
2149.22,4.06,,
2151.48,4.31,,
2153.74,4.04,,
2154.07,,4.2,
2155.62,,4.32,
2156.03,3.91,,
2156.56,,,4.21
2158.73,,4.11,
2159.27,4.15,,
2159.27,4.02,,
2159.54,,,3.89
2160.28,,3.83,
2161.23,4.03,,
2162.57,,,3.99
2162.74,3.79,,
2164.11,,4.05,
2165.35,3.93,,
2165.64,,,3.74
2167.98,3.83,,
2168.7,,,3.68
2170.61,3.77,,
2171.46,,3.55,
2171.76,,,3.59
2173.24,3.65,,
2174.92,,3.62,
2175.45,3.55,,
2177.88,,,3.28
2179.71,3.48,,
2180.94,,,3.2
2183.8,,,3.16
2184.29,3.33,,
2186.02,,2.98,
2186.52,,,3.17
2186.77,2.96,,
2189.13,3.42,,3.23
2189.98,,3.12,
2191.59,,,2.38
2193.76,,3.25,
2194.05,,,3.52
2196.51,,,3.84
2197.53,,3.39,
2198.27,3.84,,
2198.97,,,3.51
2200.51,3.85,,
2200.72,,3.66,
2201.44,,,3.8
2202.44,3.94,,
2203.07,,3.55,
2203.82,,,3.9
2204.37,3.49,,
2205.41,,3.76,
2206.19,,,3.57
2206.29,3.77,,
2207.76,,3.46,
2208.22,3.71,,
2208.57,,,3.61
2210.95,,,3.27
2213.26,3.42,,
2214.08,,3.18,
2215.93,,,3.2
2220.97,,,3.35
2221.18,3.7,,
2223.01,,,3.27
2224.23,3.49,,
2225.02,,,3.03
2226.95,,3.23,
2227.02,,,3.24
2227.27,3.24,,
2228.8,3.31,,
2229.03,,,3.05
2229.21,,2.94,
2231.04,,,3.21
2231.48,,3.07,
2231.84,3.23,,
2232.75,3.36,,
2233.05,,,3.52
2234.18,,3.28,
2234.52,3.36,,
2235.44,,,3.66
2236.33,3.59,,
2237.36,,3.8,
2237.92,,,3.63
2239.2,3.77,,
2240.53,,,3.99
2240.54,,3.99,
2242.83,4.09,,
2243.15,,,3.64
2243.72,,3.8,
2245.77,,,3.73
2246.85,3.64,,
2246.9,,3.6,
2248.39,,,3.44
2250.84,,,2.77
2250.88,3.52,,
2254.9,3.49,,
2255.74,,,2.79
2257.32,2.96,,
2259.78,2.86,,
2260.26,,3.01,
2262.5,,,3.11
2263.76,,3.16,
2264.7,3.43,,
2266.42,3.01,,
2269.27,,,2.76
2270.77,,3.22,
2272.08,3.53,,
2274.27,,3.56,
2274.54,3.46,,
2277.77,,3.48,
2279.46,3.94,,
2281.28,,3.93,
2282.17,3.84,,
2282.8,,,3.62
2284.78,,3.61,
2286.18,,,3.41
2286.84,4.03,,
2288.28,,3.77,
2289.3,3.67,,
2291.76,3.34,,
2291.79,,3.2,
2295.29,,3.44,
2296.68,2.94,,
2298.02,,,2.74
2298.8,,3.11,
2299.63,3.11,,
2301.41,,,2.62
2301.6,3.16,,
2302.3,,3.14,
2303.09,,,2.5
2305.56,,3.16,
2308.72,,3.54,
2311.49,,,2.74
2311.89,,3.38,
2315.07,,3.67,
2315.38,3.32,,
2321.74,,,3.56
2327.79,,3.43,
2328.65,,,3.33
2331.05,,3.45,
2334.32,,3.38,
2336.88,3.6,,
2336.9,,3.21,
2336.96,,,3.73
2338.07,,,3.3
2338.82,3.7,,
2338.94,,3.58,
2339.19,,,3.48
2340.31,,,3.12
2340.58,3.64,,
2340.77,3.69,,
2340.99,,3.42,
2341.43,,,3.16
2342.52,3.58,,
2342.54,,,3.25
2342.72,3.34,,
2343.03,,3.28,
2343.66,,,2.94
2344.47,3.33,,
2344.78,,,2.85
2345.08,,3.11,
2345.9,,,3.04
2346.42,3.23,,
2347.02,,,2.99
2347.18,,3.1,
2348.66,,,2.94
2349.89,3.06,,
2350.26,,2.94,
2351.94,,,3
2353.37,,3.47,
2353.58,,,2.97
2354.01,2.95,,
2357.01,,,3.3
2358.77,,,3.58
2359.6,,3.8,
2362.29,,,3.03
2362.71,,3.53,
2365.81,,,3.44
2365.82,,3.42,
2367.57,,,3.53
2369.33,,,3.72
2377.75,,3.51,
2378.76,2.98,,
2382.22,,2.92,
2391.14,3.1,,
2391.17,,3.19,
2395.26,2.63,,
2395.64,,3.22,
2398.73,,,2.56
2399.39,3.29,,
2400.12,,3.32,
2402.98,3.32,,
2404.5,,3.44,
2408.41,,3.56,
2409.63,3.22,,
2411.48,,3.12,
2415.07,2.96,,
2417.62,,2.93,
2419.85,,,3.36
2420.36,3.28,,
2422.02,,,3.24
2423.75,,3.25,
2424.19,,,2.82
2424.36,,3.45,
2426.36,,,3.24
2427.43,,3.43,
2428.05,3.49,,
2428.53,,,3.23
2430.5,,4.39,
2430.62,2.88,,
2432.85,4.02,,
2433.56,,3.96,
2435.01,4.03,,
2435.74,,,4.12
2436.02,,3.72,
2436.95,4.29,,
2438.31,,,4.09
2439.1,4.06,,
2440.87,,,3.38
2442.49,,3.51,
2443.43,,,3.81
2445.1,,3.45,
2445.56,3.65,,
2446,,,3.45
2447.72,3.65,,
2448.78,,,2.82
2450.6,3.75,,
2450.86,,3.41,
2453.6,3.38,,
2454.16,,2.9,
2455.7,,,3.01
2456.6,3.02,,
2457.45,,2.94,
2459.16,,,2.32
2459.6,3.27,,
2460.74,,3.02,
2462.59,3.36,,
2462.61,,,3
2464.03,,3.05,
2466.07,,,3.04
2467.33,,2.68,
2469.52,,,2.95
2470.62,,2.97,
2472.68,3.47,,
2476.11,3.52,,
2476.43,,,3.58
2477.2,,3.45,
2479.55,3.9,,
2479.89,,,3.74
2480.5,,3.72,
2482.98,4.09,,
2483.79,,4.11,
2486.41,4.41,,
2487.13,,,3.82
2487.37,,4.31,
2489.31,4.16,,
