d13C,d13C_corr,d18O,d18O_corr,type,mcd,age_ka,Comment
0.2,0.2,2.43,3.07,CWUE,0.022307,0.563545,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.93,0.93,2.47,3.11,CWUE,0.122688,3.0995,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.23,1.23,2.72,3.36,CWUE,0.234223,5.91722,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.28,0.28,3.73,4.37,CWUE,0.457293,11.5527,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.31,0.31,4.29,4.93,CWUE,0.554401,14.0059,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.48,0.48,4.3,4.94,CWUE,0.61012,15.4135,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.27,0.27,4.26,4.9,CWUE,0.665838,16.8212,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.37,0.37,4.21,4.85,CWUE,0.721556,18.2288,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.32,0.32,4.13,4.77,CWUE,0.777274,19.6364,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.48,0.48,3.94,4.58,CWUE,0.944428,23.8592,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.54,0.54,3.85,4.49,CWUE,1.03333,25.75,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.52,0.52,3.88,4.52,CWUE,1.12593,27.6944,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.81,0.81,3.78,4.42,CWUE,1.31111,31.5833,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1,1,3.76,4.4,CWUE,1.4037,33.5278,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.82,0.82,3.56,4.2,CWUE,1.4963,35.4722,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.68,0.68,3.69,4.33,CWUE,1.68148,39.3611,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.5,0.5,3.77,4.41,CWUE,1.77407,41.3056,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.72,0.72,3.65,4.29,CWUE,1.86667,43.25,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.78,0.78,3.77,4.41,CWUE,1.86667,43.25,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.46,0.46,3.52,4.16,CWUE,1.95764,45.1806,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.96,0.96,3.8,4.44,CWUE,2.01875,46.625,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.9,0.9,3.76,4.4,CWUE,2.09514,48.4306,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.99,0.99,3.77,4.41,CWUE,2.17153,50.2361,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.15,1.15,3.64,4.28,CWUE,2.24792,52.0417,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.83,0.83,3.51,4.01,CSPP,2.32431,53.8472,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.47,0.47,3.58,4.22,CWUE,2.37778,55.1111,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.45,0.45,3.66,4.3,CWUE,2.47708,57.4583,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.25,-0.25,3.71,4.35,CWUE,2.55347,59.2639,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.33,0.33,4.02,4.66,CWUE,2.62986,61.0694,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0,0,3.85,4.49,CWUE,2.62986,61.0694,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.06,-0.06,3.88,4.52,CWUE,2.70625,62.875,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.02,0.02,3.92,4.56,CWUE,2.78264,64.6806,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.02,0.02,3.93,4.57,CWUE,2.85903,66.4861,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.5,0.5,3.56,4.2,CWUE,3.01181,70.0972,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.18,1.18,3.32,3.96,CWUE,3.08667,72.5333,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.88,0.88,3.57,4.21,CWUE,3.08667,72.5333,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.23,1.23,3.35,3.99,CWUE,3.16,75.6,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.62,0.62,3.28,3.92,CWUE,3.23333,78.6667,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.12,1.12,3.27,3.91,CWUE,3.30667,81.7333,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.13,1.13,2.84,3.48,CWUE,3.38,84.8,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.86,0.86,3.18,3.82,CWUE,3.38,84.8,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.44,0.44,3,3.64,CWUE,3.45333,87.8667,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.41,0.41,3.59,4.23,CWUE,3.52667,90.9333,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.7,0.7,3.33,3.97,CWUE,3.6,94,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.82,0.82,3.18,3.82,CWUE,3.6,94,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.22,1.22,3.39,4.03,CWUE,3.67895,96.1181,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.17,1.17,3.1,3.74,CWUE,3.75789,98.2362,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.15,1.15,3.02,3.66,CWUE,3.91579,102.472,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
