d13C,d13C_corr,d18O,d18O_corr,type,mcd,age_ka,Comment
-0.22,-0.22,2.42,3.06,CWUE,0.163529,4.13127,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.68,0.68,2.82,3.46,CWUE,0.222353,5.61734,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.48,0.48,2.74,3.38,CWUE,0.281176,7.10341,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.86,0.86,2.73,3.37,CWUE,0.34,8.58947,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.08,0.08,4.05,4.69,CWUE,0.398824,10.0755,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.25,-0.25,4.42,4.77,NUMB,0.516471,13.0477,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.14,0.14,4.16,4.8,CCIC,0.6015,15.1958,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
0.02,0.02,4.1,4.74,CWUE,0.704,17.7853,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.2,0.2,4,4.64,CWUE,0.8065,20.3747,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.15,0.15,3.89,4.53,CCIC,0.909,22.9642,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
-0.03,-0.03,3.88,4.52,CWUE,0.996154,24.9692,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.29,0.29,3.85,4.49,CWUE,1.07308,26.5846,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.3,0.3,3.85,4.49,CWUE,1.07308,26.5846,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.25,0.25,3.8,4.44,CWUE,1.15,28.2,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.33,0.33,3.83,4.47,CWUE,1.22692,29.8154,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.31,0.31,3.75,4.39,CWUE,1.30385,31.4308,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.45,0.45,3.72,4.36,CWUE,1.38077,33.0462,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.17,0.17,3.77,4.41,CWUE,1.45769,34.6615,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.27,0.27,3.73,4.37,CWUE,1.53462,36.2769,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.54,0.54,3.7,4.34,CWUE,1.61154,37.8923,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.12,0.12,3.63,4.27,CWUE,1.61154,37.8923,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.68,0.68,3.63,4.27,CCIC,1.68846,39.5077,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
0.37,0.37,3.84,4.48,CWUE,1.76538,41.1231,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.76,0.76,3.63,4.27,CWUE,1.84231,42.7385,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.05,0.05,3.56,4.2,CBRA,1.91923,44.3538,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
0.26,0.26,3.51,4.15,CWUE,1.994,46.04,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.25,0.25,3.52,4.16,CWUE,2.06733,47.7733,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.69,0.69,3.67,4.31,CCIC,2.14067,49.5067,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
-0.07,-0.07,3.81,4.45,CWUE,2.214,51.24,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.55,0.55,3.66,4.3,CWUE,2.28733,52.9733,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.14,0.14,3.56,4.2,CWUE,2.36067,54.7067,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.3,0.3,3.66,4.3,CCIC,2.434,56.44,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
0.3,0.3,3.71,4.35,CWUE,2.50733,58.1733,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.04,-0.04,3.76,4.4,CWUE,2.58067,59.9067,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.18,-0.18,3.63,4.27,CWUE,2.654,61.64,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.08,-0.08,3.86,4.36,CSPP,2.72733,63.3733,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.56,0.56,3.73,4.37,CWUE,2.96933,69.0933,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.18,0.18,3.8,4.15,NUMB,3.04267,70.8267,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.1,0.1,3.71,4.06,NUMB,3.04267,70.8267,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
-0.21,-0.21,3.7,4.05,NUMB,3.1076,73.4087,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
-0.69,-0.69,3.76,4.11,NUMB,3.1076,73.4087,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.91,0.91,3.35,3.99,CWUE,3.1716,76.0851,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.52,0.52,3.14,3.78,CWUE,3.2356,78.7615,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.83,0.83,3.03,3.67,CWUE,3.2996,81.4378,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.86,0.86,3.13,3.77,CWUE,3.3636,84.1142,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.4,0.4,3.15,3.79,CWUE,3.4276,86.7906,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.55,0.55,3.5,4.14,CWUE,3.65899,95.5826,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.78,0.78,3.41,4.05,CCIC,3.75112,98.0545,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
0.51,0.51,3.25,3.89,CWUE,3.84326,100.526,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.8,0.8,3.12,3.76,CCIC,3.93539,102.998,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
